Date,PG Name,Zoom's Bank,Amount
02-Apr-15,PayU,Kotak,2241280.02
04-Apr-15,Citruspay,Kotak,51432.66
06-Apr-15,PayU,Kotak,4961770.54
06-Apr-15,Citruspay,Kotak,87422.15
06-Apr-15,Citruspay,Kotak,259602.62
07-Apr-15,PayU,Kotak,639105.57
07-Apr-15,PayU,Kotak,5386.14
07-Apr-15,Citruspay,Kotak,47695.27
08-Apr-15,PayU,Kotak,333062.75
08-Apr-15,Citruspay,Kotak,205246.13
09-Apr-15,PayU,Kotak,1075912.16
09-Apr-15,Citruspay,Kotak,120576.01
10-Apr-15,PayU,Kotak,1826828.26
10-Apr-15,Citruspay,Kotak,53518.02
13-Apr-15,PayU,Kotak,4608653.05
13-Apr-15,Citruspay,Kotak,141412.34
13-Apr-15,Citruspay,Kotak,262514.94
15-Apr-15,PayU,Kotak,2628776.73
15-Apr-15,Citruspay,Kotak,167255.73
16-Apr-15,PayU,Kotak,1240708.2
16-Apr-15,Citruspay,Kotak,366595.52
17-Apr-15,PayU,Kotak,2744742.64
17-Apr-15,Citruspay,Kotak,60224.79
18-Apr-15,Citruspay,Kotak,161825.41
20-Apr-15,Citruspay,Kotak,128746.41
21-Apr-15,PayU,Kotak,854782.11
21-Apr-15,PayU,Kotak,214804.94
21-Apr-15,PayU,Kotak,5396867.57
21-Apr-15,Citruspay,Kotak,236166.87
22-Apr-15,PayU,Kotak,1589112.13
22-Apr-15,Citruspay,Kotak,98885.09
23-Apr-15,PayU,Kotak,2063680.46
23-Apr-15,Citruspay,Kotak,148112.12
24-Apr-15,PayU,Kotak,2508523.64
24-Apr-15,Citruspay,Kotak,234683.28
25-Apr-15,Citruspay,Kotak,228441.84
27-Apr-15,PayU,Kotak,5369388.29
27-Apr-15,Citruspay,Kotak,217229.45
28-Apr-15,PayU,Kotak,742114.8
29-Apr-15,PayU,Kotak,1558363.18
29-Apr-15,Citruspay,Kotak,79683.28
30-Apr-15,PayU,Kotak,1981937.83
